Row Labels,Count of CT_Tag_ID,Sum of isAlive
Adams County,2,2
American Native Plants,62,47
Angelica,595,471
ARS,4,3
Behnke,33,30
Bobtown,21,8
Boyer,1,1
Bremo Trees,2629,2161
Buddies Nursery,53,44
Carol Herwig,2,2
Casey Tree Farm,1806,1458
Clear Ridge Nursery Inc.,34,29
Country Springs Wholesale,110,86
DR Snell,9,4
Earth Sangha,128,104
Edible Landscapes,284,171
Fine Earth,2,0
ForestFarms,2,0
Frager,1,1
George Riseling,5,4
Go Native,28,27
Gro-Getters,42,27
Hale and Hines,9,8
Herring Run,4,3
Homewood Gardens,30,23
Ingleside,79,51
Johnson's Florist and Garden Centers,1,1
Klyn,1,1
Kuenzi,369,310
Manor View Farm,2,1
Merrifield,233,141
Moore & Dorsey,2,2
Mrs. Casey's Mansion,36,28
Nature by Design,125,103
Nonesuch Nursery,2,1
Old City Green,2,2
Other,3,2
Princeton Nurseries,66,50
Rebate,1159,887
Riveredge Farms,593,437
Robin Hill Farm Nursery,192,113
Rose Creek Nursery,24,17
Ruppert,390,307
Schichtel's,37,33
Select Tree Farms,7,4
Shade Tree Nursery,32,19
Shemin,224,183
Spring Hill,72,63
Stadler,12,9
Stark Bros,5,5
Tennessee Trees,33,19
Unknown,7,3
USDA/Beltsville Legacy Tree,44,39
Valley Crest,61,37
Watkins Nurseries,152,102
(blank),,
Grand Total,9861,7684
